"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderwater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","Ambient_Multiplier","Lightid"
"12","0","0","126","1088","0","11","35","1","0","0","Elwynn Forest","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"13","0","10","555","1073742912","0","11","48","11","0","0","The World Tree","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"14","1","0","127","1088","0","11","25","9","0","0","Durotar","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.4","0"
"15","1","0","128","1088","0","11","33","227","0","0","Dustwallow Marsh","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.4","0"
"16","1","0","129","1088","0","11","31","205","0","0","Azshara","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"17","1","0","130","1088","0","11","38","7","0","0","The Barrens","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.3","0"
"18","0","12","131","1073742912","0","11","35","1","0","7","Crystal Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"19","0","33","574","1073742912","0","11","32","3","0","40","Zul'Gurub","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"20","0","40","132","1073742912","0","11","0","9","0","14","Moonbrook","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"21","0","0","133","1088","0","11","0","8","0","0","Kul Tiras","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"22","451","0","547","17472","0","11","38","2","0","0","Programmer Isle","","","","","","","","","","","","","","","","16712190","0","1","0","0","0","-500","0","0"
"23","0","12","134","1074791488","0","11","35","0","0","0","Northshire River","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"24","0","12","135","1076888576","73","11","35","1","67","0","Northshire Abbey","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"25","0","0","136","1088","0","11","46","10","0","0","Blackrock Mountain","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"26","0","40","602","1073742912","0","11","0","7","0","0","Lighthouse","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"28","0","0","137","1088","0","11","37","205","0","0","Western Plaguelands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"30","0","0","138","1088","0","11","0","0","0","0","Nine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"32","0","10","139","1073742912","0","11","0","2","0","0","The Cemetary","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"33","0","0","140","1088","0","11","32","3","0","0","Stranglethorn Vale","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"34","0","12","141","1073742848","0","11","35","1","0","0","Echo Ridge Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"35","0","33","142","1075840064","0","11","0","3","0","42","Booty Bay","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"36","0","0","143","1088","0","11","31","1","0","0","Alterac Mountains","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.5","0"
"37","0","33","144","1073742912","0","11","0","3","0","36","Lake Nazferiti","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"38","0","0","145","1088","0","11","31","1","0","0","Loch Modan","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.1","0"
"40","0","0","146","1088","0","11","47","9","0","0","Westfall","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.1","0"
"41","0","0","556","1088","0","11","49","2","0","0","Deadwind Pass","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"42","0","10","147","1075840064","0","11","0","2","0","25","Darkshire","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"43","0","33","148","1073742912","0","11","0","3","0","42","Wild Shore","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"44","0","0","149","1088","0","11","31","1","0","0","Redridge Mountains","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.2","0"
"45","0","0","150","1088","0","11","30","8","0","0","Arathi Highlands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.2","0"
"46","0","0","151","1088","0","11","46","10","0","0","Burning Steppes","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"47","0","0","152","1088","0","11","31","1","0","0","The Hinterlands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.4","0"
"49","451","22","153","1073741888","0","11","0","0","0","0","Dead Man's Hole","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"51","0","0","154","1088","0","11","46","10","0","0","Searing Gorge","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"53","0","12","155","1073742912","0","11","35","1","0","0","Thieves Camp","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"54","0","12","550","1073742912","0","11","35","1","0","8","Jasperlode Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"55","0","12","156","1073742912","0","11","35","13","61","0","Valley of Heroes UNUSED","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"56","0","12","157","1073742912","0","11","35","1","303","0","Heroes' Vigil","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"57","0","12","158","1073742912","0","11","35","1","0","5","Fargodeep Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"59","0","12","159","1074791424","0","11","35","1","0","0","Northshire Vineyards","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"60","0","12","606","1073742912","0","11","35","1","0","8","Forest's Edge","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"61","0","12","160","1073742912","0","11","35","1","0","0","Thunder Falls","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"62","0","12","161","1073742912","0","11","35","1","0","8","Brackwell Pumpkin Patch","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"63","0","12","162","1073742912","0","11","35","1","0","6","The Stonefield Farm","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"64","0","12","163","1073742912","0","11","35","1","0","6","The Maclure Vineyards","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"65","571","0","164","17476","0","11","439","412","545","0","Dragonblight","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"66","571","0","165","17476","0","11","441","423","544","76","Zul'Drak","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"67","571","0","166","17473","0","11","465","420","0","77","The Storm Peaks","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.6","0"
"68","0","44","557","1073742912","0","11","0","1","0","16","Lake Everstill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"69","0","44","167","1075840064","0","11","0","1","0","15","Lakeshire","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"70","0","44","168","1073742912","0","11","0","1","0","24","Stonewatch","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"71","0","44","627","1073742912","0","11","0","1","0","20","Stonewatch Falls","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"72","0","4","169","1073742912","0","11","210","7","0","63","The Dark Portal","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"73","0","4","170","1073742912","0","11","0","7","0","50","The Tainted Scar","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"74","0","8","171","1073742912","0","11","0","0","0","43","Pool of Tears","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"75","0","8","172","1075840064","0","11","0","0","0","37","Stonard","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"76","0","8","173","1073742912","0","11","0","0","0","37","Fallow Sanctuary","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"77","0","1","174","1076888576","0","11","0","8","0","0","Anvilmar","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"80","0","12","175","1073742912","0","11","35","17","0","10","Stormwind Mountains","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"81","451","22","575","1073741888","0","11","0","0","0","0","Jeff NE Quadrant Changed","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"82","451","22","176","1073741888","0","11","0","0","0","0","Jeff NW Quadrant","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"83","451","22","177","1073741888","0","11","0","0","0","0","Jeff SE Quadrant","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"84","451","22","178","1073741888","0","11","0","0","0","0","Jeff SW Quadrant","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"85","0","0","179","1088","0","11","40","2","0","0","Tirisfal Glades","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.3","0"
"86","0","12","180","1073742912","0","11","35","1","0","8","Stone Cairn Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"87","0","12","548","1076888640","0","11","35","1","0","5","Goldshire","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"88","0","12","181","1073742912","0","11","35","1","0","6","Eastvale Logging Camp","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"89","0","12","182","1073742912","0","11","35","1","0","0","Mirror Lake Orchard","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"91","0","12","183","1073742912","0","11","35","1","0","8","Tower of Azora","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"92","0","12","558","1073742912","0","11","35","1","0","0","Mirror Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"93","0","10","628","1073742912","0","11","0","214","0","28","Vul'Gol Ogre Mound","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"94","0","10","184","1073742912","0","11","0","2","0","24","Raven Hill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"95","0","44","185","1073742912","0","11","0","1","0","20","Redridge Canyons","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"96","0","44","186","1073742912","0","11","0","1","0","25","Tower of Ilgalar","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"97","0","44","187","1073742912","0","11","0","1","0","19","Alther's Mill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"98","0","44","188","1073742912","0","11","0","1","0","17","Rethban Caverns","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"99","0","33","189","1075840064","0","11","0","3","0","30","Rebel Camp","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"100","0","33","585","1073742912","0","11","0","3","0","31","Nesingwary's Expedition","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"101","0","33","190","1073742912","0","11","0","3","0","32","Kurzen's Compound","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"102","0","33","586","1073742912","0","11","0","3","0","41","Ruins of Zul'Kunda","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"103","0","33","191","1073742912","0","11","0","3","0","40","Ruins of Zul'Mamwe","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"104","0","33","192","1073742912","0","11","0","3","0","37","The Vile Reef","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"105","0","33","193","1073742912","0","11","0","3","0","42","Mosh'Ogg Ogre Mound","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"106","0","33","194","1073742912","0","11","0","3","0","0","The Stockpile","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"107","0","40","195","1073742912","0","11","0","9","0","14","Saldean's Farm","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"108","0","40","196","1076888640","0","11","0","9","0","15","Sentinel Hill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"109","0","40","197","1073742912","0","11","0","9","0","15","Furlbrow's Pumpkin Farm","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"111","0","40","198","1073742912","0","11","0","9","0","12","Jangolode Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"113","0","40","576","1073742912","0","11","0","9","0","15","Gold Coast Quarry","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"115","0","40","199","1073742912","0","11","24","9","0","17","Westfall Lighthouse","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"116","0","8","200","1073742912","0","11","0","0","0","39","Misty Valley","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"117","0","33","629","1075840064","0","11","0","228","0","35","Grom'gol Base Camp","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"118","0","11","201","1073742912","0","11","0","191","0","22","Whelgar's Excavation Site","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"120","0","12","559","1075840064","0","11","35","0","0","8","Westbrook Garrison","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"121","0","10","202","1073742912","0","11","0","15","0","28","Tranquil Gardens Cemetery","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"122","0","33","203","1073742912","0","11","0","3","0","37","Zuuldaia Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"123","0","33","204","1073742912","0","11","0","3","0","34","Bal'lal Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"125","0","33","205","1073742912","0","11","0","3","0","35","Kal'ai Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"126","0","33","206","1073742912","0","11","0","3","0","0","Tkashi Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"127","0","33","207","1073742912","0","11","0","3","0","40","Balia'mah Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"128","0","33","208","1073742912","0","11","0","3","0","36","Ziata'jai Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"129","0","33","209","1073742912","0","11","0","3","0","37","Mizjah Ruins","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"130","0","0","210","1088","0","11","28","2","0","0","Silverpine Forest","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.4","0"
"131","0","1","211","1076888640","0","11","0","0","0","5","Kharanos","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"132","0","1","212","1074791424","0","11","0","0","0","0","Coldridge Valley","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"133","0","1","213","1073742912","0","11","42","8","0","10","Gnomeregan","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"134","0","1","214","1073742912","0","11","0","8","0","10","Gol'Bolar Quarry","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"135","0","1","215","1073742912","0","11","0","0","121","7","Frostmane Hold","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"136","0","1","216","1073742912","0","11","0","0","0","5","The Grizzled Den","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"137","0","1","217","1075840064","0","11","0","0","0","7","Brewnall Village","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"138","0","1","218","1073742912","0","11","0","8","0","7","Misty Pine Refuge","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"139","0","0","219","1088","0","11","37","205","0","0","Eastern Plaguelands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.5","0"
"141","1","0","220","1088","0","11","48","11","0","0","Teldrassil","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.4","0"
"142","0","38","221","1073742912","0","11","0","1","0","15","Ironband's Excavation Site","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"143","0","38","222","1073742912","0","11","0","14","0","18","Mo'grosh Stronghold","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"144","0","38","223","1076888640","0","11","0","1","0","10","Thelsamar","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"145","0","38","224","1073742912","0","11","0","1","0","18","Algaz Gate","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"146","0","38","225","1075840064","0","11","230","1","0","15","Stonewrought Dam","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"147","0","38","226","1073742912","0","11","0","1","0","15","The Farstrider Lodge","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"148","1","0","227","1088","0","11","28","191","0","0","Darkshore","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.6","0"
"149","0","38","228","1073742912","0","11","0","1","0","12","Silver Stream Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"150","0","11","229","1075840064","0","11","0","191","0","20","Menethil Harbor","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"151","451","0","560","17472","0","11","47","226","0","0","Designer Island","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"152","0","85","230","1075840064","0","11","0","2","0","9","The Bulwark","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"153","0","85","607","1073742912","0","11","0","2","0","10","Ruins of Lordaeron","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"154","0","85","231","1076888576","0","11","0","15","0","0","Deathknell","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"155","0","85","232","1073742848","0","11","0","2","0","0","Night Web's Hollow","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"156","0","85","233","1073742912","0","11","0","2","0","6","Solliden Farmstead","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"157","0","85","234","1073742912","0","11","0","15","0","8","Agamand Mills","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"158","0","85","235","1073742912","0","11","0","15","0","0","Agamand Family Crypt","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"159","0","85","236","1076888640","0","11","0","15","0","5","Brill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"160","0","85","237","1073742912","0","11","0","2","0","12","Whispering Gardens","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"161","0","85","238","1073742912","0","11","0","2","0","10","Terrace of Repose","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"162","0","85","239","1073742912","0","11","0","2","0","7","Brightwater Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"163","0","85","240","1073742912","0","11","0","2","0","0","Gunther's Retreat","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"164","0","85","241","1073742912","0","11","0","2","0","7","Garren's Haunt","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"165","0","85","242","1073742912","0","11","0","15","0","5","Balnir Farmstead","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"166","0","85","243","1073742912","0","11","0","2","0","5","Cold Hearth Manor","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"167","0","85","244","1073742912","0","11","0","2","0","8","Crusader Outpost","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"168","0","85","245","1073742912","0","11","0","2","0","0","The North Coast","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"169","0","85","577","1073742912","0","11","0","0","0","0","Whispering Shore","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"170","0","0","246","1088","0","11","31","2","0","0","Lordamere Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"172","0","130","247","1073742912","0","11","0","2","0","18","Fenris Isle","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"173","0","85","620","1073742912","0","11","0","2","0","0","Faol's Rest","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"186","1","141","622","1076888640","0","11","0","11","0","5","Dolanaar","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"187","1","141","248","1073742912","0","11","48","76","63","7","Darnassus UNUSED","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"188","1","141","561","1076888576","0","11","0","11","0","0","Shadowglen","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"189","0","1","249","1073742912","0","11","0","8","0","5","Steelgrill's Depot","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"190","0","28","250","1073742912","0","11","0","0","0","56","Hearthglen","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"192","0","28","251","1073742912","0","11","0","0","0","55","Northridge Lumber Camp","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"193","0","28","252","1073742912","0","11","0","15","0","55","Ruins of Andorhal","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"195","0","28","253","1073742912","0","11","0","0","0","0","School of Necromancy","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"196","0","28","578","1073742912","0","11","0","15","0","0","Uther's Tomb","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"197","0","28","254","1073742912","0","11","0","0","0","50","Sorrow Hill","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"198","0","28","255","1073742912","0","11","0","0","0","55","The Weeping Cave","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"199","0","28","256","1073742912","0","11","0","10","0","50","Felstone Field","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"200","0","28","257","1073742912","0","11","0","10","0","54","Dalson's Tears","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"201","0","28","258","1073742912","0","11","0","10","0","57","Gahrron's Withering","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"202","0","28","259","1073742912","0","11","0","10","0","46","The Writhing Haunt","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"203","0","28","260","1073742912","0","11","37","193","0","0","Mardenholde Keep","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"204","0","130","261","1073742912","0","11","0","191","301","15","Pyrewood Village","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"205","0","11","262","1073742912","0","11","0","191","0","28","Dun Modr","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"206","574","0","263","0","0","11","429","0","0","0","Utgarde Keep","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.7","0"
"207","36","0","264","64","0","11","0","9","0","0","The Great Sea","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"208","36","0","265","64","76","11","34","0","0","0","Unused Ironcladcove","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"209","33","0","266","0","0","11","28","2","0","16","Shadowfang Keep","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0","0"
"210","571","0","267","1093","0","11","466","421","543","80","Icecrown","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.75","0"
"211","0","1","268","1073742912","0","11","0","8","0","7","Iceflow Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"212","0","1","269","1073742912","0","11","0","8","0","8","Helm's Bed Lake","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"213","0","130","270","1073742912","0","11","0","2","324","13","Deep Elem Mine","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"214","0","0","271","1088","0","11","0","9","0","0","The Great Sea","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"215","1","0","272","1088","0","11","30","9","0","0","Mulgore","","","","","","","","","","","","","","","","16712190","4","0","0","0","0","-500","0.3","0"
"219","0","40","273","1073742912","0","11","0","9","0","15","Alexston Farmstead","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
